source,product_name,product_type,brand,price,currency,stock_status,blade_count,ratchet_count,bit_count,launcher_count,stadium_count,bey_count,launcher_included,stadium_included,description,listing_url,snapshot_date,product_code,ratchet,bit,blade,expects_blade,blade_match_status,description_text
Rucua,BX-00 Beyblade 25th Anniversary Set,Set,Takara Tomy,5199.0,MXN,OutOfStock,4,4,4,4,0,4,1,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
 Para conmemorar el 25 aniversario de Beyblade. El set incluye Dragoon Storm 4-60RA de ""Bakuten Shoot Beyblade"", Storm Pegasus 3-70RA de ""Metal Fight Beyblade"", Victory Valkyrie 2-60RA de ""Beyblade Burst"" y Dran Sword 3-60F Holo Sticker Ver. de ""BEYBLADE X"". 
Los Beyblades de los personajes principales de las primeras temporadas de cada serie de anime ya están disponibles en versiones BEYBLADE X.
Contenido del producto: Blade (4), Ratchet (4), Bit (4), lanzador de jareta (4), jareta (4), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-beyblade-25th-anniversary-set,2026-09-21,BX-00,,,,1,multi_bey_set,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
 Para conmemorar el 25 aniversario de Beyblade. El set incluye Dragoon Storm 4-60RA de ""Bakuten Shoot Beyblade"", Storm Pegasus 3-70RA de ""Metal Fight Beyblade"", Victory Valkyrie 2-60RA de ""Beyblade Burst"" y Dran Sword 3-60F Holo Sticker Ver. de ""BEYBLADE X"". 
Los Beyblades de los personajes principales de las primeras temporadas de cada serie de anime ya están disponibles en versiones BEYBLADE X.
Contenido del producto: Blade (4), Ratchet (4), Bit (4), lanzador de jareta (4), jareta (4), Beycode (1), manual de instrucciones (1)."
Rucua,BX-00 Bit Set F/T/B/N Gold x Black,Bit Set,Takara Tomy,499.0,MXN,InStock,0,0,4,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Bit (4), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-bit-set-f-t-b-n-gold-x-black,2026-09-21,BX-00,,,,0,no_blade_expected,
Rucua,BX-00 Bit Set F/T/B/N Silver x White,Bit Set,Takara Tomy,499.0,MXN,InStock,0,0,4,0,0,0,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Bit (4), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-bit-set-f-t-b-n-silver-x-white,2026-09-21,BX-00,,,,0,no_blade_expected,
Rucua,BX-00 Booster Cobalt Drake 4-60F Clear Ver.,Booster,Takara Tomy,1599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-clear-ver,2026-09-21,BX-00,4-60,F,Cobalt Drake,1,matched,
Rucua,BX-00 Booster Cobalt Drake 4-60F Metal Coat: Blue Ver.,Booster,Takara Tomy,4699.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-cobalt-drake-4-60f-metal-coat-blue-ver,2026-09-21,BX-00,4-60,F,Cobalt Drake,1,matched,
Rucua,BX-00 Booster Draciel Shield 7-60D,Booster,Takara Tomy,599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-draciel-shield-7-60d,2026-09-21,BX-00,7-60,D,Draciel Shield,1,matched,
Rucua,BX-00 Booster Dragoon Storm 4-60RA,Booster,Takara Tomy,599.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dragoon-storm-4-60ra,2026-09-21,BX-00,4-60,RA,Dragoon Storm,1,matched,
Rucua,BX-00 Booster Dran Sword 3-60F Version 2.0,Booster,Takara Tomy,999.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dran-sword-3-60f-version-2-0,2026-09-21,BX-00,3-60,F,Dran Sword,1,matched,
Rucua,BX-00 Booster Dranzer Spiral 3-80T,Booster,Takara Tomy,599.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t,2026-09-21,BX-00,3-80,T,Dranzer Spiral,1,matched,
Rucua,BX-00 Booster Dranzer Spiral 3-80T Black Ver.,Booster,Takara Tomy,699.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-dranzer-spiral-3-80t-black-ver,2026-09-21,BX-00,3-80,T,Dranzer Spiral,1,matched,
Rucua,BX-00 Booster Drigger Slash 4-80P,Booster,Takara Tomy,599.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-drigger-slash-4-80p,2026-09-21,BX-00,4-80,P,Driger Slash,1,matched,
Rucua,BX-00 Booster Hells Chain 5-60HT Metal Coat: Black,Booster,Takara Tomy,1099.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-hells-chain-5-60ht-metal-coat-black,2026-09-21,BX-00,5-60,HT,Hells Chain,1,matched,
Rucua,BX-00 Booster Hell's Scythe 4-60T Metal Coat: Gold,Booster,Takara Tomy,1999.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-hells-size-4-60t-metal-coat-gold,2026-09-21,BX-00,4-60,T,Hells Scythe,1,matched,
Rucua,BX-00 Booster Leon Claw 5-60P Metal Coat: Gold,Booster,Takara Tomy,1699.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-leon-claw-5-60p-metal-coat-gold,2026-09-21,BX-00,5-60,P,Leon Claw,1,matched,
Rucua,BX-00 Booster Mammoth Task Metal Coat: Black,Booster,Takara Tomy,1099.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-mammoth-task-metal-coat-black,2026-09-21,BX-00,,,,1,needs_review,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1)."
Rucua,BX-00 Booster Rock Leone 6-80GN,Booster,Takara Tomy,799.0,MXN,OutOfStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-rock-leone-6-80gn,2026-09-21,BX-00,6-80,GN,Rock Leone,1,matched,
Rucua,BX-00 Booster Shark Edge 5-60GF Metal Coat: Blue,Booster,Takara Tomy,1799.0,MXN,InStock,1,1,1,0,0,1,0,0,"BEYBLADE X es un gear sport que presenta batallas extremas con increíble velocidad e impacto gracias a su truco de superaceleración, X-Dash.
Contenido del producto: Blade (1), Ratchet (1), Bit (1), Beycode (1), manual de instrucciones (1).",https://rucua.com/products/bx-00-booster-shark-edge-5-60gf-metal-coat-blue,2026-09-21,BX-00,5-60,GF,Shark Edge,1,matched,
